Name,Rarity,Attunement,Type,Source,Description,URL,Notes
Enduring Spellbook,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This spellbook, along with anything written on its pages, can't be damaged by fire or immersion in water. In addition, the spellbook doesn't deteriorate with age.
",http://dnd5e.wikidot.com/wondrous-items:enduring-spellbook,
Ersatz Eye,common,requires attunement,Wondrous item,Xanathar's Guide to Everything,"This artificial eye replaces a real one that was lost or removed. While the ersatz eye is embedded in your eye socket, it can't be removed by anyone other than you, and you can see through the tiny orb as though it were a normal eye.
",http://dnd5e.wikidot.com/wondrous-items:ersatz-eye,
Everbright Lantern,common,No Attunement,Wondrous item,Eberron - Rising from the Last War,"This bullseye lantern contains an Eberron dragonshard that sheds light comparable to that produced by a Continual Flame spell. An everbright lantern sheds light in a 120-foot cone; the closest 60 feet is bright light, and the farthest 60 feet is dim light.
",http://dnd5e.wikidot.com/wondrous-items:everbright-lantern,
Feather Token,common,No Attunement,Wondrous item,Eberron - Rising from the Last War,"This small metal disk is inscribed with the image of a feather. When you fall at least 20 feet while the token is on your person, you descend 60 feet per round and take no damage from falling. The token's magic is expended after you land, whereupon the disk becomes nonmagical.
",http://dnd5e.wikidot.com/wondrous-items:feather-token,
Glamerweave,common  uncommon,No Attunement,Wondrous item,Eberron - Rising from the Last War,"Glamerweave is clothing imbued with harmless illusory magic. While wearing the common version of these clothes, you can use a bonus action to create a moving illusory pattern within the cloth.
Uncommon glamerweave can have the pattern rise from the cloth. For example, a glamerweave gown might be wreathed in harmless, illusory flames, while a glamerweave hat might have illusory butterflies fluttering around it.
When you make a Charisma (Performance) or Charisma (Persuasion) check while wearing the uncommon version of glamerweave, you can roll a d4 and add the number rolled to the check. Once you use this property, it can't be used again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:glamerweave,
Hat of Vermin,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This hat has 3 charges. While holding the hat, you can use an action to expend 1 of its charges and speak a command word that summons your choice of a bat, a frog, or a rat (see the Player's Handbook or the Monster Manual for statistics). The summoned creature magically appears in the hat and tries to get away from you as quickly as possible. The creature is neither friendly nor hostile, and it isn't under your control. It behaves as an ordinary creature of its kind and disappears after 1 hour or when it drops to 0 hit points. The hat regains all expended charges daily at dawn.
",http://dnd5e.wikidot.com/wondrous-items:hat-of-vermin,
Hat of Wizardry,common,requires attunement by a wizard,Wondrous item,Xanathar's Guide to Everything,"This antiquated, cone-shaped hat is adorned with gold crescent moons and stars. While you are wearing it, you gain the following benefits:
",http://dnd5e.wikidot.com/wondrous-items:hat-of-wizardry,
Heward's Handy Spice Pouch,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This belt pouch appears empty and has 10 charges. While holding the pouch, you can use an action to expend 1 of its charges, speak the name of any nonmagical food seasoning (such as salt, pepper, saffron, or cilantro), and remove a pinch of the desired seasoning from the pouch. A pinch is enough to season a single meal. The pouch regains 1d6 + 4 expended charges daily at dawn.
",http://dnd5e.wikidot.com/wondrous-items:hewards-handy-spice-pouch,
Horn of Silent Alarm,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This horn has 4 charges. When you use an action to blow it, one creature of your choice can hear the horn's blare, provided the creature is within 600 feet of the horn and not deafened. No other creature hears sound coming from the horn. The horn regains 1d4 expended charges daily at dawn.
",http://dnd5e.wikidot.com/wondrous-items:horn-of-silent-alarm,
Illuminator's Tattoo,common,requires attunement,Wondrous item (tattoo),Tasha's Cauldron of Everything,"Produced by a special needle, this magic tattoo features beautiful calligraphy, images of writing implements, and the like.
Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.
If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.
Magical Scribing. While this tattoo is on your skin, you can write with your fingertip as if it were an ink pen that never runs out of ink.
As an action, you can touch a piece of writing up to one page in length and speak a creature's name. The writing becomes invisible to everyone other than you and the named creature for the next 24 hours. Either of you can dismiss the invisibility by touching the script (no action required). Once used, this action can't be used again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:illuminators-tattoo,
Imbued Wood Focus,common,requires attunement,Wondrous item,Eberron - Rising from the Last War,"An imbued wood focus is a rod, staff, or wand cut from a tree infused with extraplanar energy. If you're a spellcaster, you can use this orb as a spellcasting focus.
When you cast a damage-dealing spell using this item as your spellcasting focus, you gain a +1 bonus to one damage roll of the spell, provided the damage is of the type associated with the item's wood. The types of wood and their associated damage types are listed in the Imbued Wood Focus table.
",http://dnd5e.wikidot.com/wondrous-items:imbued-wood-focus,"Needs manual intervention, has a table. "
Instrument of Illusions,common,requires attunement,Wondrous item,Xanathar's Guide to Everything,"While you are playing this musical instrument, you can create harmless, illusory visual effects within a 5-foot-radius sphere centered on the instrument. If you are a bard, the radius increases to 15 feet. Sample visual effects include luminous musical notes, a spectral dancer, butterflies, and gently falling snow. The magical effects have neither substance nor sound, and they are obviously illusory. The effects end when you stop playing.
",http://dnd5e.wikidot.com/wondrous-items:instrument-of-illusions,
Instrument of Scribing,common,requires attunement,Wondrous item,Xanathar's Guide to Everything,"This musical instrument has 3 charges. While you are playing it, you can use an action to expend 1 charge from the instrument and write a magical message on a nonmagical object or surface that you can see within 30 feet of you. The message can be up to six words long and is written in a language you know. If you are a bard, you can scribe an additional seven words and choose to make the message glow faintly, allowing it to be seen in nonmagical darkness. Casting Dispel Magic on the message erases it. Otherwise, the message fades away after 24 hours.
The instrument regains all expended charges daily at dawn.
",http://dnd5e.wikidot.com/wondrous-items:instrument-of-scribing,
Keycharm,common,requires attunement by a creature with the Mark of Warding,Wondrous item,Eberron - Rising from the Last War,"This small stylized key plays a vital role in the work of House Kundarak. If you cast the Alarm, Arcane Lock, or Glyph of Warding spell, you can tie the effect to the keycharm so that whoever holds it receives the notification from the Alarm spell, bypasses the lock of the Arcane Lock spell, or avoids triggering the glyph placed by the Glyph of Warding spell. In addition, the holder (who needn't be attuned to the item) can take an action to end any one spell tied to it, provided the holder knows the command word you set for ending the tied spells. The keycharm can have up to three tied spells at one time.
",http://dnd5e.wikidot.com/wondrous-items:keycharm,
Lantern of Tracking,common,No Attunement,Wondrous item,Icewind Dale - Rime of the Frostmaiden,"This hooded lantern burns for 6 hours on 1 pint of oil, shedding bright light in a 30-foot-radius and dim light for an additional 30 feet.
Each Lantern of Tracking is designed to track down a certain type of creature, which is determined by rolling this creature type on the Lantern of Tracking table. Once determined, this creature type can't be changed. While the lantern is within 300 feet of any creature of that type, its flame turns bright green. The lantern doesn't pinpoint the creature's exact location, however.
",http://dnd5e.wikidot.com/wondrous-items:lantern-of-tracking,"Needs manual intervention, has a table. "
Lock of Trickery,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This lock appears to be an ordinary lock (of the type described in chapter 5 of the Player's Handbook) and comes with a single key. The tumblers in this lock magically adjust to thwart burglars. Dexterity checks made to pick the lock have disadvantage.
",http://dnd5e.wikidot.com/wondrous-items:lock-of-trickery,
Masque Charm,Common,No Attunement,Wondrous Item,trixhaven: A Curriculum of Chaos,"A masque charm is a small silver pin. While wearing this charm, you can use an action to cast the Disguise Self spell (DC 13 to discern the disguise). Once the spell is cast, it can't be cast from the charm again until the next sunset. When casting the spell, you can have the spell last for its normal 1 hour duration or for 6 hours. If you choose the 6-hour duration, the charm becomes nonmagical when the spell ends. In either case, the spell ends if the charm is removed from you.
",http://dnd5e.wikidot.com/wondrous-items:masque-charm,
Masquerade Tattoo,common,requires attunement,Wondrous item (tattoo),Tasha's Cauldron of Everything,"Produced by a special needle, this magic tattoo appears on your body as whatever you desire.
Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.
If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.
Fluid Ink. As a bonus action, you can shape the tattoo into any color or pattern and move it to any area of your skin. Whatever form it takes, it is always obviously a tattoo. It can range in size from no smaller than a copper piece to an intricate work of art that covers all your skin.
Disguise Self. As an action, you can use the tattoo to cast the Disguise Self spell (DC 13 to discern the disguise). Once the spell is cast from the tattoo, it can't be cast from the tattoo again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:masquerade-tattoo,
Medal of Muscle,common,No Attunement,Wondrous item,Critical Role - Call of the Netherdee,"You can squeeze this medal tightly in the palm of your hand as an action. Doing so gives you advantage on Strength checks and Strength saving throws for 1 hour. Once this property has been used, it can’t be used again, an the medal becomes nonmagical.
",http://dnd5e.wikidot.com/wondrous-items:medal-of-muscle,
Medal of the Conch,common,No Attunement,Wondrous item,Critical Role - Call of the Netherdee,"When you use an action to rub this medal, you gain a swimming speed equal to your walking speed for 1 hour. Once this property has been used, it can’t be used again, and the medal becomes nonmagical.
",http://dnd5e.wikidot.com/wondrous-items:medal-of-the-conch,
Medal of the Horizonback,common,No Attunement,Wondrous item,Critical Role: Call of the Netherdee,"When you would be hit by an attack, you can use your reaction to increase your AC by 5 until the start of your next turn, including against the triggering attack. You must be wearing the medal and able to see the creature that made the triggering attack to use this property. Once this property has been used, it can’t be used again, and the medal becomes nonmagical.
",http://dnd5e.wikidot.com/wondrous-items:medal-of-the-horizonback,
Medal of the Maze,common,No Attunement,Wondrous item,Critical Role - Call of the Netherdee,"When you use an action to trace the maze inscribed on this medal, you gain advantage on Wisdom checks and know the quickest route to the end of any nonmagical path or maze for 1 hour. Once this property has been used, it can’t be used again, and the medal becomes nonmagical.
",http://dnd5e.wikidot.com/wondrous-items:medal-of-the-maze,
Medal of the Meat Pie,common,No Attunement,Wondrous item,Critical Role - Call of the Netherdee,"You gain 2d4 + 2 temporary hit points when you use an action to press this medal to your mouth. Once this property has been used, it can’t be used again, and the medal becomes nonmagical.
While magical, this medal is slightly warm to the touch (as if it’s fresh from the oven) and smells faintly of baked pie crust.
",http://dnd5e.wikidot.com/wondrous-items:medal-of-the-meat-pie,
Medal of the Wetlands,common,No Attunement,Wondrous item,Critical Role - Call of the Netherdee,"When you use an action to trace the edge of this medal, difficult terrain doesn’t cost you extra movement for 1 hour. Once this property has been used, it can’t be used again, and the medal becomes nonmagical.
",http://dnd5e.wikidot.com/wondrous-items:medal-of-the-wetlands,
Medal of Wit,Common,No Attunement,Wondrous Item,Critical Role - Call of the Netherdee,"You can press this medal to your temple as an action. Doing so gives you advantage on Intelligence checks and Intelligence saving throws for 1 hour. Once this property has been used, it can’t be used again, and the medal becomes nonmagical.
",http://dnd5e.wikidot.com/wondrous-items:medal-of-wit,
Moodmark Paint,common,No Attunement,Wondrous item,Guildmaster's Guide to Ravnica,"This thick, black paint is stored in a small jar, containing enough paint to apply moodmarks to one creature. The paint is dabbed on the face in spots or markings that often resemble the eyes of insects or spiders. Applying the paint in this way takes 1 minute.
For the next 8 hours, the marks change to reflect your mental state. A creature that can see you and makes a successful DC 10 Wisdom (Insight) check can discern whether you are happy, sad, angry, disgusted, surprised, or afraid, as well as the main source of that emotion. For example, you might communicate fear caused by a monster you just saw around the corner, grief at the loss of a friend, or happiness derived from pride in your performance in combat. A dark elf has advantage on this check.
",http://dnd5e.wikidot.com/wondrous-items:moodmark-paint,
Moon-Touched Sword,common,No Attunement,Weapon (any sword),Xanathar's Guide to Everything,"In darkness, the unsheathed blade of this sword sheds moonlight, creating bright light in a 15-foot radius and dim light for an additional 15 feet.
",http://dnd5e.wikidot.com/wondrous-items:moon-touched-sword,
Mystery Key,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"A question mark is worked into the head of this key. The key has a 5 percent chance of unlocking any lock into which it's inserted. Once it unlocks something, the key disappears.
",http://dnd5e.wikidot.com/wondrous-items:mystery-key,
Orb of Direction,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"While holding this orb, you can use an action to determine which way is north. This property functions only on the Material Plane.
",http://dnd5e.wikidot.com/wondrous-items:orb-of-direction,
Orb of Shielding,common,requires attunement,Wondrous item,Eberron - Rising from the Last War,"An orb of shielding is a polished, spherical chunk of crystal or stone aligned to one of the planes of existence. If you're a spellcaster, you can use this orb as a spellcasting focus.
If you're holding the orb when you take damage of the type associated with the orb's material, you can use your reaction to reduce the damage by 1d4 (to a minimum of 0). The materials and their associated damage types are listed in the Orb of Shielding table.
",http://dnd5e.wikidot.com/wondrous-items:orb-of-shielding,"Needs manual intervention, has a table. "
Orb of Time,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"While holding this orb, you can use an action to determine whether it is morning, afternoon, evening, or nighttime outside. This property functions only on the Material Plane.
",http://dnd5e.wikidot.com/wondrous-items:orb-of-time,
Perfume of Bewitching,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"This tiny vial contains magic perfume, enough for one use. You can use an action to apply the perfume to yourself, and its effect lasts 1 hour. For the duration, you have advantage on all Charisma checks directed at humanoids of challenge rating 1 or lower. Those subjected to the perfume's effect are not aware that they've been influenced by magic.
",http://dnd5e.wikidot.com/wondrous-items:perfume-of-bewitching,
Pipe of Remembrance,common,No Attunement,Wondrous item,Ghosts of Saltmarsh,"This long, delicate wooden pipe features a bowl made from smooth river stone. When the pipe is lit. smoke exhaled from it does not dissipate, instead lingering around the bearer. After 10 minutes, the smoke forms moving shapes that reenact the bearer's most impressive and heroic achievements for 5 minutes. When this realistic performance is complete, the smoke dissipates. The pipe can't be used this way again until the next dawn.
",http://dnd5e.wikidot.com/wondrous-items:pipe-of-remembrance,
Pipe of Smoke Monsters,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"While smoking this pipe, you can use an action to exhale a puff of smoke that takes the form of a single creature, such as a dragon, a flumph, or a froghemoth. The form must be small enough to fit in a 1-foot cube and loses its shape after a few seconds, becoming an ordinary puff of smoke.
",http://dnd5e.wikidot.com/wondrous-items:pipe-of-smoke-monsters,
Pole of Angling,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"While holding this 10-foot pole, you can speak a command word and transform it into a fishing pole with a hook, a line, and a reel. Speaking the command word again changes the fishing pole back into a normal 10-foot pole.
",http://dnd5e.wikidot.com/wondrous-items:pole-of-angling,
Pole of Collapsing,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"While holding this 10-foot pole, you can use an action to speak a command word and cause it to collapse into a 1-foot-long rod, for ease of storage. The pole's weight doesn't change. You can use an action to speak a different command word and cause the rod to revert to a pole; however, the rod will elongate only as far as the surrounding space allows.
",http://dnd5e.wikidot.com/wondrous-items:pole-of-collapsing,
Pot of Awakening,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"If you plant an ordinary shrub in this 10-pound clay pot and let it grow for 30 days, the shrub magically transforms into an awakened shrub (see the Monster Manual for statistics) at the end of that time. When the shrub awakens, its roots break the pot, destroying it.
The awakened shrub is friendly toward you. Absent commands from you, it does nothing.
",http://dnd5e.wikidot.com/wondrous-items:pot-of-awakening,
Potion of Climbing,common,No Attunement,Potion,Dungeon Master's Guide,"When you drink this potion, you gain a climbing speed equal to your walking speed for 1 hour. During this time, you have advantage on Strength (Athletics) checks you make to climb. The potion is separated into brown, silver, and gray layers resembling bands of stone. Shaking the bottle fails to mix the colors.
",http://dnd5e.wikidot.com/wondrous-items:potion-of-climbing,
Potion of Healing,rarity varies,No Attunement,Potion,Dungeon Master's Guide,"You regain hit points when you drink this potion. The number of hit points depends on the potion's rarity, as shown in the Potions of Healing table. Whatever its potency, the potion's red liquid glimmers when agitated.
",http://dnd5e.wikidot.com/wondrous-items:potion-of-healing,"Needs manual intervention, has a table. "
Pressure Capsule,common,No Attunement,Wondrous item,Ghosts of Saltmarsh,"This small capsule is made of beeswax blended with sand and a variety of enchanted water plants. A creature who consumes a pressure capsule ignores the effects of swimming at depths greater than 100 feet (see &quot;Unusual Environments&quot; in chapter 5 of the Dungeon Master's Guide).
",http://dnd5e.wikidot.com/wondrous-items:pressure-capsule,
Prosthetic Limb,common,No Attunement,Wondrous item,Tasha's Cauldron of Everything,"This item replaces a lost limb a hand, an arm, a foot, a leg, or a similar body part. While the prosthetic is attached, it functions identically to the part it replaces. You can detach or reattach it as an action, and it can't be removed against your will. It detaches if you die.
",http://dnd5e.wikidot.com/wondrous-items:prosthetic-limb,
Rope of Mending,common,No Attunement,Wondrous item,Xanathar's Guide to Everything,"You can cut this 50-foot coil of hempen rope into any number of smaller pieces, and then use an action to speak a command word and cause the pieces to knit back together. The pieces must be in contact with each other and not otherwise in use. A rope of mending is forever shortened if a section of it is lost or destroyed.
",http://dnd5e.wikidot.com/wondrous-items:rope-of-mending,
Ruby of the War Mage,common,requires attunement by a spellcaster,Wondrous item,Xanathar's Guide to Everything,"Etched with eldritch runes, this 1-inch-diameter ruby allows you to use a simple or martial weapon as a spellcasting focus for your spells. For this property to work, you must attach the ruby to the weapon by pressing the ruby against it for at least 10 minutes. Thereafter, the ruby can't be removed unless you detach it as an action or the weapon is destroyed. Not even an Antimagic Field causes it to fall off. The ruby does fall off the weapon if your attunement to the ruby ends.
",http://dnd5e.wikidot.com/wondrous-items:ruby-of-the-war-mage,
Scribe's Pen,common,requires attunement by a creature with the Mark of Scribing,Wondrous item,Eberron - Rising from the Last War,"You can use this pen to write on any surface. You decide whether the writing is visible or invisible, but the writing is always visible to a person with the Mark of Scribing.
Any creature with the Mark of Scribing can use an action to touch the invisible writing, making it visible to all.
If you use the pen to write on a creature that isn't a construct, the writing fades after 7 days.
",http://dnd5e.wikidot.com/wondrous-items:scribes-pen,
Sekolahian Worshipping Statuette,common,No Attunement,Wondrous item,Ghosts of Saltmarsh,"Skillfully carved from sandstone, this 1-foot-tall statuette depicts a shark twisting through the water with its mouth open. If any Tiny sea-dwelling animal is within 1 inch of the statuette's mouth, the shark flashes to life and deals 1 piercing damage to it. The shark can deal damage in this way no more than once per hour.
",http://dnd5e.wikidot.com/wondrous-items:sekolahian-worshipping-statuette,
Shield of Expression,common,No Attunement,Armor (shield),Xanathar's Guide to Everything,"The front of this shield is shaped in the likeness of a face. While bearing the shield, you can use a bonus action to alter the face's expression.
",http://dnd5e.wikidot.com/wondrous-items:shield-of-expression,
Shiftweave,common,No Attunement,Wondrous item,Eberron - Rising from the Last War,"When a suit of shiftweave is created, up to five different outfits can be embedded into the cloth. While wearing the clothing, you can speak its command word as a bonus action to transform your outfit into your choice of one of the other designs contained within it. Regardless of its appearance, the outfit can't be anything but clothing. Although it can duplicate the look of other magical clothing, it doesn't gain their magical properties.
",http://dnd5e.wikidot.com/wondrous-items:shiftweave,
Smoldering Armor,common,No Attunement,Armor,Xanathar's Guide to Everything,"Wisps of harmless, odorless smoke rise from this armor while it is worn.
",http://dnd5e.wikidot.com/wondrous-items:smoldering-armor,
Spell Scroll,rarity varies,No Attunement,Scroll,Dungeon Master's Guide,"A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.
If the spell is on your class's spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell's level. On a failed check, the spell disappears from the scroll with no other effect.
Once the spell is cast, the words on the scroll fade, and the scroll itself crumbles to dust.
The level of the spell on the scroll determines the spell's saving throw DC and attack bonus, as well as the scroll's rarity, as shown in the Spell Scroll table.
A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scroll, the copier must succeed on an Intelligence (Arcana) check with a DC equal to 10 + the spell's level. If the check succeeds, the spell is successfully copied. Whether the check succeeds or fails, the spell scroll is destroyed.
",http://dnd5e.wikidot.com/wondrous-items:spell-scroll,"Needs manual intervention, has a table. "
Spellshard,common,No Attunement,Wondrous item,Eberron - Rising from the Last War,"This polished Eberron dragonshard fits in the hand and stores information similar to a book. The shard can hold the equivalent of one book that's no more than 320 pages long. A shard can be created blank or already filled with information. When the shard is created, the creator can set a passphrase that must be spoken to access the information stored within.
While holding the shard, you can use an action to open your mind to the shard, seeing its content in your mind. On subsequent rounds, reading the text or scribing new text on blank &quot;pages&quot; in the shard requires concentration (as if concentrating on a spell) and takes the same amount of time it takes you to read and write normally. Thinking of a particular phrase or topic draws you to the first section in the shard that addresses it.
A wizard can use a spellshard as a spellbook, with the usual cost in gold and time to &quot;scribe&quot; a spell into the shard.
",http://dnd5e.wikidot.com/wondrous-items:spellshard,
Spellwrought Tattoo,rarity varies,No Attunement,Wondrous item (tattoo),Tasha's Cauldron of Everything,"Produced by a special needle, this magic tattoo contains a single spell of up to 5th level, wrought on your skin by a magic needle. To use the tattoo, you must hold the needle against your skin and speak the command word. The needle turns into ink that becomes the tattoo, which appears on the skin in whatever design you like. Once the tattoo is there, you can cast its spell, requiring no material components. The tattoo glows faintly while you cast the spell and for the spell's duration. Once the spell ends, the tattoo vanishes from your skin.
The level of the spell in the tattoo determines the spell's saving throw DC, attack bonus, spellcasting ability modifier, and the tattoo's rarity, as shown in the Spellwrought Tattoo table.
",http://dnd5e.wikidot.com/wondrous-items:spellwrought-tattoo,"Needs manual intervention, has a table. "
